1000,186890.000000
1100,128878.000000
1200,153500.000000
1300,185796.000000
1400,210904.000000
1500,225320.000000
1600,263136.000000
1700,290840.000000
1800,323430.000000
1900,360948.000000
2000,395204.000000
2100,268290.000000
2200,302434.000000
2300,324542.000000
2400,347200.000000
2500,342436.000000
2600,378928.000000
2700,421344.000000
2800,438018.000000
2900,466336.000000
3000,506304.000000
3100,537120.000000
3200,572428.000000
3300,600376.000000
3400,629354.000000
3500,662714.000000
3600,696666.000000
3700,732132.000000
3800,749962.000000
3900,786630.000000
4000,823536.000000
4100,559484.000000
4200,586128.000000
4300,609808.000000
4400,634840.000000
4500,650568.000000
4600,670114.000000
4700,694380.000000
4800,714380.000000
4900,1112044.000000
